EngineType,FuelType,CH4EF
SSD,HFO,0.01
SSD,MDO,0.01
SSD,MeOH,0.01
SSD,LSHFO,0.01
MSD,HFO,0.01
MSD,MDO,0.01
MSD,MeOH,0.01
MSD,LSHFO,0.01
HSD,HFO,0.01
HSD,MDO,0.01
HSD,LSHFO,0.01
Otto_MS,LNG,5.5
Otto_SS,LNG,2.5
LNG_Diesel,LNG,0.2
LBSI,LNG,4.1
Gas_Turbines,HFO,0.002
Gas_Turbines,MDO,0.002
Gas_Turbines,LNG,0.06
Gas_Turbines,LSHFO,0.01
Steam_Boiler,HFO,0.002
Steam_Boiler,MDO,0.002
Steam_Boiler,LNG,0.04
Steam_Boiler,LSHFO,0.002
Auxiliary_Engines,HFO,0.01
Auxiliary_Engines,MDO,0.01
Auxiliary_Engines,LNG,5.5
Auxiliary_Engines,LSHFO,0.002
