ShipType,ShipType_cn,size_min,size_max,unit,type_bin,size_bin,mode,ABPower,AEPower,Weather_correction_factor(nw),Fouling_correction_factor(nf)
Bulk_carrier,散货船,0,9999,dwt,1,1,berth,70,110,0.909,0.917
Bulk_carrier,散货船,10000,34999,dwt,1,2,berth,70,110,0.867,0.917
Bulk_carrier,散货船,35000,59999,dwt,1,3,berth,130,150,0.867,0.917
Bulk_carrier,散货船,60000,99999,dwt,1,4,berth,260,240,0.867,0.917
Bulk_carrier,散货船,100000,199999,dwt,1,5,berth,260,240,0.867,0.917
Bulk_carrier,散货船,200000,999999999,dwt,1,6,berth,260,240,0.867,0.917
Chemical_tanker,化学品船,0,4999,dwt,2,1,berth,670,110,0.909,0.917
Chemical_tanker,化学品船,5000,9999,dwt,2,2,berth,670,330,0.909,0.917
Chemical_tanker,化学品船,10000,19999,dwt,2,3,berth,1000,330,0.867,0.917
Chemical_tanker,化学品船,20000,39999,dwt,2,4,berth,1350,790,0.867,0.917
Chemical_tanker,化学品船,40000,999999999,dwt,2,5,berth,1350,790,0.867,0.917
Container,集装箱船,0,999,teu,3,1,berth,250,370,0.909,0.917
Container,集装箱船,1000,1999,teu,3,2,berth,340,820,0.867,0.917
Container,集装箱船,2000,2999,teu,3,3,berth,460,610,0.867,0.917
Container,集装箱船,3000,4999,teu,3,4,berth,480,1100,0.867,0.917
Container,集装箱船,5000,7999,teu,3,5,berth,590,1100,0.867,0.917
Container,集装箱船,8000,11999,teu,3,6,berth,620,1150,0.867,0.917
Container,集装箱船,12000,14499,teu,3,7,berth,630,1300,0.867,0.917
Container,集装箱船,14500,19999,teu,3,8,berth,630,1400,0.867,0.917
Container,集装箱船,20000,999999999,teu,3,9,berth,700,1400,0.867,0.917
General_cargo,普通货船,0,4999,dwt,4,1,berth,0,90,0.909,0.917
General_cargo,普通货船,5000,9999,dwt,4,2,berth,110,240,0.909,0.917
General_cargo,普通货船,10000,19999,dwt,4,3,berth,150,720,0.867,0.917
General_cargo,普通货船,20000,999999999,dwt,4,4,berth,150,720,0.867,0.917
