gen,EngineType,FuelType,PM10EF
1,SSD,HFO,1.4
1,SSD,MDO,0.18
1,SSD,LSHFO,0.88
1,MSD,HFO,1.4
1,MSD,MDO,0.18
1,MSD,LSHFO,0.86
1,HSD,HFO,1.4
1,HSD,MDO,0.17
1,HSD,LSHFO,0.83
1,Gas_Turbine,HFO,1.42
1,Gas_Turbine,MDO,0.15
1,Gas_Turbine,LSHFO,0.65
1,Steam_Boiler,HFO,1.42
1,Steam_Boiler,MDO,0.14
1,Steam_Boiler,LNG,0.03
1,Steam_Boiler,LSHFO,0.57
1,Auxiliary_Engines,HFO,1.4
1,Auxiliary_Engines,MDO,0.17
1,Auxiliary_Engines,LSHFO,0.83
2,SSD,HFO,1.39
2,SSD,MDO,0.18
2,SSD,LSHFO,0.93
2,MSD,HFO,1.39
2,MSD,MDO,0.18
2,MSD,LSHFO,0.9
2,HSD,HFO,1.4
2,HSD,MDO,0.18
2,HSD,LSHFO,0.88
2,Otto_MS,LNG,0.02
2,LBSI,LNG,0.02
2,Gas_Turbine,HFO,1.42
2,Gas_Turbine,MDO,0.15
2,Gas_Turbine,LSHFO,0.65
2,Steam_Boiler,HFO,1.42
2,Steam_Boiler,MDO,0.14
2,Steam_Boiler,LNG,0.03
2,Steam_Boiler,LSHFO,0.57
2,Auxiliary_Engines,HFO,1.4
2,Auxiliary_Engines,MDO,0.18
2,Auxiliary_Engines,LNG,0.02
2,Auxiliary_Engines,LSHFO,0.88
3,SSD,HFO,1.39
3,SSD,MDO,0.19
3,SSD,MeOH,0.14
3,SSD,LSHFO,0.95
3,MSD,HFO,1.39
3,MSD,MDO,0.18
3,MSD,MeOH,0.14
3,MSD,LSHFO,0.93
3,HSD,HFO,1.39
3,HSD,MDO,0.18
3,HSD,LSHFO,0.9
3,Otto_SS,LNG,0.02
3,Otto_MS,LNG,0.02
3,LNG_Diesel,LNG,0.01
3,LBSI,LNG,0.02
3,Gas_Turbine,HFO,1.42
3,Gas_Turbine,MDO,0.15
3,Gas_Turbine,LNG,0.03
3,Gas_Turbine,LSHFO,0.65
3,Steam_Boiler,HFO,1.42
3,Steam_Boiler,MDO,0.14
3,Steam_Boiler,LNG,0.03
3,Steam_Boiler,LSHFO,0.57
3,Auxiliary_Engines,HFO,1.39
3,Auxiliary_Engines,MDO,0.18
3,Auxiliary_Engines,LNG,0.02
3,Auxiliary_Engines,LSHFO,0.9
