EngineType,FuelType,COEF
SSD,HFO,0.54
SSD,MDO,0.044
SSD,MeOH,0.054
SSD,LSHFO,0.54
MSD,HFO,0.54
MSD,MDO,0.046
MSD,MeOH,0.054
MSD,LSHFO,0.54
HSD,HFO,0.54
HSD,MDO,0.54
HSD,LSHFO,0.54
Otto_MS,LNG,1.3
Otto_SS,LNG,1.3
LNG_Diesel,LNG,1.04
LBSI,LNG,1.3
Gas_Turbine,HFO,0.1
Gas_Turbine,MDO,0.1
Gas_Turbine,LNG,0.2
Gas_Turbine,LSHFO,0.1
Steam_Boiler,HFO,0.2
Steam_Boiler,MDO,0.2
Steam_Boiler,LNG,0.2
Steam_Boiler,LSHFO,0.2
Auxiliary_Engines,HFO,0.54
Auxiliary_Engines,MDO,0.54
Auxiliary_Engines,LNG,1.3
Auxiliary_Engines,LSHFO,0.54
