EngineType,FuelType,NMVOCEF
SSD,HFO,0.632
SSD,MDO,0.632
SSD,MeOH,0.633
SSD,LSHFO,0.632
MSD,HFO,0.527
MSD,MDO,0.527
MSD,MeOH,0.523
MSD,LSHFO,0.527
HSD,HFO,0.527
HSD,MDO,0.527
HSD,LSHFO,0.527
Otto_MS,LNG,0.5
Otto_SS,LNG,0.5
LNG_Diesel,LNG,0.4
LBSI,LNG,0.5
Gas_Turbine,HFO,0.105
Gas_Turbine,MDO,0.105
Gas_Turbine,LNG,0.105
Gas_Turbine,LSHFO,0.105
Steam_Boiler,HFO,0.105
Steam_Boiler,MDO,0.105
Steam_Boiler,LNG,0.105
Steam_Boiler,LSHFO,0.105
Auxiliary_Engines,HFO,0.421
Auxiliary_Engines,MDO,0.421
Auxiliary_Engines,LNG,0.5
Auxiliary_Engines,LSHFO,0.421
