type_categor,Capacity,Unit,type_bin,size_bin,Weather_correction_factor(nw),Fouling_correction_factor(nf)
Bulk_carrier,0-9999,DWT,1,1,0.909,0.917
Bulk_carrier,10000-34999,DWT,1,2,0.867,0.917
Bulk_carrier,35000-59999,DWT,1,3,0.867,0.917
Bulk_carrier,60000-99999,DWT,1,4,0.867,0.917
Bulk_carrier,100000-199999,DWT,1,5,0.867,0.917
Bulk_carrier,200000-,DWT,1,6,0.867,0.917
Chemical_tanker,0-4999,DWT,3,1,0.909,0.917
Chemical_tanker,5000-9999,DWT,3,2,0.909,0.917
Chemical_tanker,10000-19999,DWT,3,3,0.867,0.917
Chemical_tanker,20000-39999,DWT,3,4,0.867,0.917
Chemical_tanker,40000-,DWT,3,5,0.867,0.917
Container,0-999,TEU,4,1,0.909,0.917
Container,1000-1999,TEU,4,2,0.867,0.917
Container,2000-2999,_TEU,4,3,0.867,0.917
Container,3000-4999,TEU,4,4,0.867,0.917
Container,5000-7999,TEU,4,5,0.867,0.917
Container,8000-11999,TEU,4,6,0.867,0.917
Container,12000-14499,TEU,4,7,0.867,0.917
Container,14500-19999,TEU,4,8,0.867,0.917
Container,20000-,TEU,4,9,0.867,0.917
General_cargo,0-4999,DWT,5,1,0.909,0.917
General_cargo,5000-9999,DWT,5,2,0.909,0.917
General_cargo,10000-19999,DWT,5,3,0.867,0.917
General_cargo,20000-,DWT,5,4,0.867,0.917
Liquefied_gas_tanker,0-49999,CBM,6,1,0.867,0.917
Liquefied_gas_tanker,5000-99999,CBM,6,2,0.867,0.917
Liquefied_gas_tanker,100000-199999,CBM,6,3,0.867,0.917
Liquefied_gas_tanker,200000-,CBM,6,4,0.867,0.917
Oil_tanker,0-4999,DWT,7,1,0.909,0.917
Oil_tanker,5000-9999,DWT,7,2,0.909,0.917
Oil_tanker,10000-19999,DWT,7,3,0.867,0.917
Oil_tanker,20000-59999,DWT,7,4,0.867,0.917
Oil_tanker,60000-79999,DWT,7,5,0.867,0.917
Oil_tanker,80000-119999,DWT,7,6,0.867,0.917
Oil_tanker,120000-199999,DWT,7,7,0.867,0.917
Oil_tanker,200000-,DWT,7,8,0.867,0.917
Other_liquids_tankers,0-999,DWT,8,1,0.867,0.917
Other_liquids_tankers,1000-,DWT,8,2,0.867,0.917
Ferry-pax_only,0-299,GT,9,1,0.909,0.917
Ferry-pax_only,300-999,GT,9,2,0.909,0.917
Ferry-pax_only,1000-1999,GT,9,3,0.909,0.917
Ferry-pax_only,2000-,GT,9,4,0.909,0.917
Cruise,0-1999,GT,10,1,0.909,0.917
Cruise,2000-9999,GT,10,2,0.867,0.917
Cruise,10000-59999,GT,10,3,0.867,0.917
Cruise,60000-99999,GT,10,4,0.867,0.917
Cruise,100000-149999,GT,10,5,0.867,0.917
Cruise,150000-,GT,10,6,0.867,0.917
Ferry-RoPax,0-1999,GT,11,1,0.909,0.917
Ferry-RoPax,2000-4999,GT,11,2,0.909,0.917
Ferry-RoPax,5000-9999,GT,11,3,0.909,0.917
Ferry-RoPax,10000-19999,GT,11,4,0.909,0.917
Ferry-RoPax,20000-,GT,11,5,0.909,0.917
Refrigerated_bulk,0-1999,DWT,12,1,0.867,0.917
Refrigerated_bulk,2000-5999,DWT,12,2,0.867,0.917
Refrigerated_bulk,6000-9999,DWT,12,3,0.867,0.917
Refrigerated_bulk,10000-,DWT,12,4,0.867,0.917
Ro-Ro,0-4999,DWT,13,1,0.909,0.917
Ro-Ro,5000-9999,DWT,13,2,0.867,0.917
Ro-Ro,10000-14999,DWT,13,3,0.867,0.917
Ro-Ro,15000-,DWT,13,4,0.867,0.917
Vehicle,0-29999,GT,14,1,0.867,0.917
Vehicle,30000-49999,GT,14,2,0.867,0.917
Vehicle,50000-,GT,14,3,0.867,0.917
Yacht,0-,GT,15,,0.867,0.917
Service_tug,0-,GT,16,,0.909,0.917
Miscellaneous_fishing,0-,GT,17,,0.909,0.917
Offshore,0-,GT,18,,0.909,0.917
Service_other,0-,GT,19,,0.909,0.917
Miscellaneous_other,0-,GT,20,,0.909,0.917
