callsign_ogrinal,flag_normalized,imo,mmsi,my_vessel_type,port_of_registry,service_speed,teu,trial_speed,vessel_name_original,depth_moulded,draught,length_registered,deadweight,gross_tonnage,net_tonnage,ism_manager_name,owner_name,year_of_built,eng_total_bhp,eng_total_kw
,,5076987,,Container,,13,,,DIANA,7,4.4,,1543,1946,1059,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1959,,
EDBI,Spain,5148352,,Container,Bilbao,12,,,BLANCA DEL MAR,6.81,6.02,,2044,1335,,UNKNOWN,CONTENEMAR SA,1960,1350,994
WLRL,United States of America,5170185,366476000,Container,,20,,,DIAMOND STATE,13.62,10.2,192.94,20190,16303,9982,UNKNOWN,UNITED STATES GOVT MARAD,1962,,
TCCI2,Turkey,5191957,271002325,Container,,12,,,KARABACAK 1,,3,,1100,1047,,UNKNOWN,ABMAR DENIZCILIK,1957,,
EDDZ,Spain,5202110,,Container,Las Palmas De Gran Canari,14,,,Ras Tina,,4.46,,1956,1576,,,,1960,,
,Paraguay,5202201,,Container,,9,,,LAGO YPACARAI,,3.5,,1030,275,,UNKNOWN,LINEAS PANCHITA G SA,1945,,
ZPKP,Paraguay,5202213,755630162,Container,,,,,LAGO YPOA,,3.1,,1372,1122,,UNKNOWN,MERCO FLUVIAL,1961,,
ZPKN,Paraguay,5262500,,Container,,,,,OLIMPO,,2.5,,1023,1086,,UNKNOWN,LINEAS PANCHITA G SA,1961,,
WLRK,United States of America,5386605,367140000,Container,,20,,20,EQUALITY STATE,13.62,10.2,192.94,20190,16518,9986,UNKNOWN,UNITED STATES GOVT MARAD,1961,,
WMSM,United States of America,6421347,366035000,Container,,21,,,GREEN MOUNTAIN STATE,12.95,9.62,193.55,16443,15018,8555,UNKNOWN,UNITED STATES GOVT MARAD,1965,,
,,6504046,,Container,,10,,,Anastasia,,3.96,,1274,499,,,,1964,,
WCJI,United States of America,6605022,366565000,Container,"Norfolk, VA",20,,,KEYSTONE STATE,13.6032,10.2,192.94,17782,17641,9439,PACIFIC-GULF MARINE,UNITED STATES GOVT MARAD,1966,,7180
,,6605101,,Container,,13,,13,JULL II,8.23,6.5,,4826,3864,1807,UNKNOWN,JUBILEE MARINE,1966,,
YYCD,"Venezuela, Bolivarian Republic of",6716857,,Container,,11,,,DORYS HELENA,,4.1,,1180,953,,UNKNOWN,CARGAS DE EXPORTACIONES,1967,,
,China,6806200,,Container,,,,,Yi He,,,,25078,20609,,,COSCO CONTAINER LINES,,,
WZJC,United States,6812211,366759000,Container,"NEW YORK, NY",22.5,,,HORIZON CHALLENGER,,9.78,,21257,18775,,,,1968,,
HP9310,Panama,6819673,357635000,Container,Panama,11.75,,,AKA I,,4.45,,2006,1298,,UNKNOWN,BELLINI NAVIGATION,1968,,
WZJD,United States,6820579,366616000,Container,"New York, NY",,,,HORIZON DISCOVERY,,,,20658,19428,,,,1968,,
,,6825880,,Container,,21.5,1530,,Direct Kookaburra,,10.69,,29288,27823,,,,1969,,
WZJF,United States,6905252,366454000,Container,,,1258,,HORIZON CRUSADER,,,,20685,18888,,,,1969,,
,,6906701,,Container,,18.5,408,,Doal Mangan,,9,,15521,11229,,,,1969,,
,,6915609,,Container,,13,,,Ise,,5.06,,2519,499,,,,1969,,
,China,6917645,,Container,,13,146,,XIANG HUI 5,6.2,4.1,,3000,1476,779,UNKNOWN,NANTONG TONGLAN SHIPPING,1969,,
3EVI6,Panama,6921969,,Container,,23,1306,,MSC STEFANIA,,10.5,200.78,24245,23881,10012,UNKNOWN,STEFANIA NAVIERA,1969,,
,,6926086,,Container,,15,238,,Yong Nian,,9.17,,15315,9097,,,,1969,,
3FPF5,Panama,6930403,,Container,GERMANY,21,1132,,MSC GIULIA,,10.57,171.59,21185,16670,8504,UNKNOWN,RISORIO CORP.,1970,,
,,6930764,,Container,,15,152,,Vigour Mariner,,4.85,,4165,2929,,,,1969,,
,,7000657,,Container,,14,124,,Ana Raquel,,4.71,,2210,1457,,,,1969,,
,,7000891,,Container,,12,191,,CHANG SONG,7.78,5.07,,2923,2978,893,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1969,,
9LYC83,Sierra Leone,7007057,667381000,Container,SIERRA LEONE,12.8,185,,OLD LA,,4.2,,4500,2910,1239,UNKNOWN,YKJ SHIPPING,1970,,
3EPJ4,Panama,7013616,,Container,,20,920,,VANILLA,,10.36,159.8,16070,15769,,MSC SHIP MANAGEMENT HK LTD,JASON INTERNATIONAL SA,1970,,
HP8226,Panama,7014658,351595000,Container,Panama,13.5,90,,MARGARITA I,,4.49,,1150,1184,,UNKNOWN,MARGARITA CARGO LINE,1970,,
3FNN9,Panama,7015274,355986000,Container,PANAMA,20,1132,,KASPADU 1,,10.57,171.88,21185,16670,8504,UNKNOWN,EBISONG INVESTMENTS INC.,1970,,
CPB3031,Sierra Leone,7015327,667316000,Container,FREETOWN SIERRA LEONE,14,229,,SHARK,,4.45,,4914,4079,1459,ARADOS SHIPPING CO SRL,RAMA H SHIPPING LTD.,1970,,
3ETI9,Panama,7015925,357487000,Container,,14,124,,DINA,,4.71,,2181,2188,,UNKNOWN,MAR-WHIRRY MARINE CORP.,1970,,
ERXN,"Moldova, Republic of",7019220,214182414,Container,MORONI COMOROS,14,229,,ALM,,4.45,,4945,4079,1457,SAFETY MANAGEMENT-ISM SRL,FAIRLINE MARITIME SA,1970,,
3FPE5,Panama,7020542,,Container,PANAMA,20,1132,,MEHAFFEY,,10.57,171.59,21305,16670,8504,UNKNOWN,WALCOR HOLDINGS INC.,1970,,
ZPEW,Paraguay,7022239,,Container,,16,124,,FILIPPOS,,4.7,,2181,823,,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1970,,
YHTG,Indonesia,7024457,525005093,Container,,12,150,,KM.NIAGA BAHARI,,5.02,86.2,3261,2175,1634,UNKNOWN,HASAN FU,1971,,
3EEY8,Panama,7025877,,Container,PANAMA,18.6,800,,MSC ELIANA,,9.62,176.62,14258,13875,7724,MSC SHIP MANAGEMENT HK LTD,ELIANA NAVIERA,1970,,
UIFL,Russian Federation,7025994,,Container,,17.8,704,,GAMZAT TSADASA,,9.79,,14141,13212,7802,FESCO,FESCO,1971,,
J8YP3,Saint Vincent and the Grenadines,7027722,377951000,Container,KINGSTOWN SAINT VINCENT & GRENADINES,15.5,124,,HALCON DEL MAR,,4.69,,2210,1621,752,UNKNOWN,AQUILLA SHIPPING CO INC.,1970,3200,2355
J8FD8,Saint Vincent and the Grenadines,7030573,,Container,CYPRUS,11.5,167,,LADY MAGA,,5.02,,2520,2166,881,UNKNOWN,MAGA MARITIME LTD.,1970,,
3EUW9,Panama,7030937,,Container,Panama,17,336,,Msc Marina,,8.91,,10423,8425,,,DENARIUS INVESTMENTS INC.,1970,,
DUEK2,Philippines,7031565,,Container,,11.25,172,,POLA BAY,,5.91,,4383,2477,,UNKNOWN,OCEANIC CONTAINER LINES INC.,1970,,
