mmsi,SHIP_IMO,SHIP_NO,SHIP_TYPE_CODE,SHIP_DWT,SHIP_GROSSTON,SHIP_SPEED,SHIP_BREADTH,SHIP_DEPTH,SHIP_LENGTH,SHIP_ENGINE_POWER,SHIP_BUILT_YEAR,N,vesselType,TEUCapacity,lengthOverall
257453000,9818515,B9818515,散装化学品船/油船,49042,34128,12.5,32,47,183,7820,2019,159,chemical tanker,,182.84
351907000,9845142,B9845142,散货船,325452,172497,14,62,29.8,339.98,21000,2019,155,,,
352706000,9640487,A120013000005,液化气船,4191,4796,13.5,18.2,8,109.67,3310,2015,149,Liquefied Petroleum Gas Carrier,,109.67
356369000,9823742,B9823742,集装箱船,37621,32828,18.7,35,17,182,16080,2018,175,fully cellular containership,2500,185.99
356369000,9823742,B9823742,集装箱船,37621,32828,18.7,35,17,182,16080,2018,175,fully cellular containership,2500,185.99
412055000,9223289,A090003000006,半潜船,20257,15840,15,36,10,156,9420,2003,125,semi-sub HL vessel,,156
412055000,9223289,A090003000006,半潜船,20257,15840,15,36,10,156,9420,2003,125,semi-sub HL vessel,,156
412055000,9223289,A090003000006,半潜船,20257,15840,15,36,10,156,9420,2003,125,semi-sub HL vessel,,156
412206010,9374375,A030006000002,水产品运输船,500,490,10,8.8,4.3,54.2,735,2005,139,,,
412436120,8921420,A070105080180,散货船,42025,23277,13,30.5,15.8,180,6230,1990,156,,,
412438850,8901810,A070106000085,散货船,43665,25766,12,30.4,16.2,185.84,7120,1989,193,bulk carrier,1082,185.84
412703610,9657404,CHK-3967,散货船,34527,22400,12,28.8,14.6,179.88,8488,2010,116,bulk carrier,,179.88
412753860,9509334,A070008000005,油船,4210,3691,12.5,16,8,101.9,2060,2008,146,,,
412764740,9621223,A070311000468,油船,12692,7984,12.5,20,10.2,141.7,3310,2011,176,,,
413258000,9419864,A060007000003,散装化学品船,3560,2834,12.5,15,7.4,92.52,1912,2007,163,,,
413324410,9570369,A160009000062,多用途船,,2074,10,15,7,72.5,6920,2009,159,,,
413373000,9379789,A060009000001,油船,45844,29578,14,32.2,18.2,184.95,8520,2009,154,product tanker,,184.95
413373000,9379789,A060009000001,油船,45844,29578,14,32.2,18.2,184.95,8520,2009,154,product tanker,,184.95
413376120,9349095,A010010000212,散装化学品船/油船,11974,8525,12,22,10.6,134.85,4500,2010,142,Combined chemical and oil tanker,,134.85
413377010,9641041,A010012000062,液化气船,4344,4614,13.5,18,7.8,109.6,2980,2012,181,Liquefied Petroleum Gas Carrier,,109.6
413377920,9102734,A010014000013,集装箱船,1,29181,14.5,30.6,16,202.8,16860,1995,127,,,
413378230,9600097,A070311000410,散装化学品船/油船,4106,2994,13,15,7.4,96.6,2060,2011,151,Combined chemical and oil tanker,,96.6
413378230,9600097,A070311000410,散装化学品船/油船,4106,2994,13,15,7.4,96.6,2060,2011,151,Combined chemical and oil tanker,,96.6
413439910,9596961,A070110000199,油船,11879,7524,12,20,10.2,134.5,3310,2010,161,product tanker,,134.5
413439910,9596961,A070110000199,油船,11879,7524,12,20,10.2,134.5,3310,2010,161,product tanker,,134.5
413439910,9596961,A070110000199,油船,11879,7524,12,20,10.2,134.5,3310,2010,161,product tanker,,134.5
413444430,9626340,A070312000223,散装化学品船/油船,6473,4682,11.3,16.8,8.4,114.6,2574,2012,160,,,
413444690,9647734,A070312000244,散装化学品船/油船,4413,2984,11,15.2,7,96.17,2060,2012,140,chemical tanker,,96.17
413458730,9738569,A070417000001,液化气船,9094,12910,14.8,22.7,13.1,125.8,6000,2016,144,Liquefied Natural Gas Carrier,,125.8
413465790,8828422,A050100415,工程船,1955,1955,7,13,5,83.85,1253,1975,147,dredger,,83.85
413467580,9611113,A200011000007,油船,17183,11051,13,21.6,12.5,150.66,4440,2011,79,product tanker,,150.66
413501020,9449338,A100908000018,散装化学品船/油船,3964,2949,12,15,7.4,96.6,2060,2008,156,Combined chemical and oil tanker,,96.6
413511240,9685839,A060014000001,散装化学品船/油船,4373,2974,12,15,7.4,98,1765,2013,159,,,
413625000,9061875,A020009000018,散货船,69235,35874,14.5,32.2,18.3,224.98,8820,1993,47,,,
413702260,9177624,A080616000040,集装箱船,29105,19199,12,26,14.4,181,6400,1998,145,,,
413705980,9552769,A080418000010,散货船,34588,22481,14,28.8,14.6,179.88,6480,2010,160,bulk carrier,,179.88
413764000,9557850,A090009000022,散装化学品船/油船,,5614,10,18,9.4,120.11,2795,2009,147,Combined chemical and oil tanker,,120.11
413764000,9557850,A090009000022,散装化学品船/油船,,5614,10,18,9.4,120.11,2795,2009,147,Combined chemical and oil tanker,,120.11
413764000,9557850,A090009000022,散装化学品船/油船,,5614,10,18,9.4,120.11,2795,2009,147,Combined chemical and oil tanker,,120.11
413859483,9124421,A386000006,高速客船,,514,32,11.5,3.8,40.1,1980,1995,100,ferry,,40.1
413859483,9124421,A386000006,高速客船,,514,32,11.5,3.8,40.1,1980,1995,100,ferry,,40.1
413869000,9552135,A070509000269,散货船,52454,31167,14.6,32.26,17.6,189.9,9480,2009,172,bulk carrier,,189.9
413925000,9172557,A140009000081,散货船,69024,35884,16.8,32.2,18.3,224.98,9929,1997,92,,,
414319000,9315355,A070517000104,集装箱船,46287,38320,23.4,32.2,19.3,246.87,32490,2007,76,fully cellular containership,3768,246.86
416004726,9110640,D9110640,散装化学品船,35621,19095,15,30,14.2,175,9045,1995,150,chemical tanker,,174.92
416004726,9110640,D9110640,散装化学品船,35621,19095,15,30,14.2,175,9045,1995,150,chemical tanker,,174.92
416004726,9110640,D9110640,散装化学品船,35621,19095,15,30,14.2,175,9045,1995,150,chemical tanker,,174.92
416004726,9110640,D9110640,散装化学品船,35621,19095,15,30,14.2,175,9045,1995,150,chemical tanker,,174.92
416477000,9318618,D9318618,液化气船,17659,15175,15,23.1,12.7,153.5,5955,2006,180,Liquefied Petroleum Gas Carrier,,153.5
440178000,9829538,B9829538,散装化学品船/油船,11459,8072,13,20.4,11.05,120,3950,2018,169,chemical tanker,,120
477091800,9473535,CHK-3306,散货船,,151825,15,,,321.53,25200,2010,151,bulk ore carrier,,330
477091800,9473535,A030111990046,散货船,,152568,15,57,28.6,330,25200,1900,151,bulk ore carrier,,330
477112500,9811098,C9811098,油船,7492,6998,10,20,20,110,3030,2017,163,,,
477172700,9783538,C9783538,集装箱船,199924,194864,24,58.6,30.5,399.8,55000,2018,218,fully cellular containership,20039,399.8
477172700,9783538,C9783538,集装箱船,199924,194864,24,58.6,30.5,399.8,55000,2018,218,fully cellular containership,20039,399.8
477172700,9783538,C9783538,集装箱船,199924,194864,24,58.6,30.5,399.8,55000,2018,218,fully cellular containership,20039,399.8
477203700,9639662,B9639662,集装箱船,12738,9734,17.8,,,143.2,8730,2012,173,,,
477229800,9566992,CHK-2974,散货船,176022,91971,13,45,24.75,291.8,16860,2010,124,bulk carrier,,291.8
477229800,9566992,CHK-2974,散货船,176022,91971,13,45,24.75,291.8,16860,2010,124,bulk carrier,,291.8
477229800,9566992,CHK-2974,散货船,176022,91971,13,45,24.75,291.8,16860,2010,124,bulk carrier,,291.8
477413700,9493092,A030112990007,散货船,,151825,14.5,57,28.6,330,25200,1900,135,bulk ore carrier,,330
477413700,9493092,A030112990007,散货船,,151825,14.5,57,28.6,330,25200,1900,135,bulk ore carrier,,330
477413700,9493092,CＨＫ-3464,散货船,,151825,14.5,,,321.53,25200,2011,135,bulk ore carrier,,330
477413700,9493092,CＨＫ-3464,散货船,,151825,14.5,,,321.53,25200,2011,135,bulk ore carrier,,330
477466800,9696890,C060914990069,散货船,38508,25079,14.07,,,176.82,6120,2014,152,general cargo with container capacity,406,179.9
477466800,9696890,C060914990069,散货船,38508,25079,14.07,,,176.82,6120,2014,152,general cargo with container capacity,406,179.9
477468200,9845740,CHK-5310,集装箱船,35327,26872,19,32.2,17.1,188.8,13700,2019,204,,,
412474590,9615016,A140011000064,液化气船,4377,4618,13.3,18,7.8,109.6,2574,2011,152,Liquefied Petroleum Gas Carrier,,109.6
412607000,9475533,A140010000025,散货船,57009,32911,14.2,32.26,18,189.99,9480,2010,57,bulk carrier,,189.99
413329850,9258715,B9258715,集装箱船,12696,9413,17,22.4,11,144.8,7980,2002,177,,,
413366870,9237498,A170015000041,集装箱船,,34851,12,32.24,18.7,220.48,9480,2004,174,fully cellular containership,,220.41
413457960,9003574,A120100889,散装化学品船,7974,4801,13.2,18.2,8.95,111.3,2780,1991,154,chemical tanker,,111.3
413466390,9475583,A140011000003,散货船,56692,32969,14,32.26,18,189.99,8532,2011,152,bulk carrier,,189.99
413700170,9057472,A110010000005,集装箱船,44585,42323,12,32.24,20.17,242.04,27290,1993,157,fully cellular containership,5711,242.04
413700170,9057472,A110010000005,集装箱船,44585,42323,12,32.24,20.17,242.04,27290,1993,157,fully cellular containership,5711,242.04
413700170,9057472,A110010000005,集装箱船,44585,42323,12,32.24,20.17,242.04,27290,1993,157,fully cellular containership,5711,242.04
413700170,9057472,A110010000005,集装箱船,44585,42323,12,32.24,20.17,242.04,27290,1993,157,fully cellular containership,5711,242.04
477057700,9783332,CHK4832,油船,299154,162542,15.7,60,30,324.53,26000,2017,142,,,
